FSCS Key,Library Name,Locale,Service Area Population,Total Circulation,Percentage of Children's Material Circulation,Electronic Material Circulation,Print Material Circulation,Other Physical Item Circulation
AL0126,GUNTERSVILLE PUBLIC LIBRARY,Town,"8,676","45,908",34,"7,630","38,278",499
AL0127,ALBERTVILLE PUBLIC LIBRARY,Town,"21,777","28,127",18,"13,243","14,884",228
AL0128,HARRISON REGIONAL LIBRARY SYSTEM,Town,"46,094","124,496",9,"117,906","6,590",69
AL0129,ALABASTER - ALBERT L. SCOTT LIBRARY,Suburban,"33,701","284,465",26,"143,210","141,255",0
AL0130,CALERA PUBLIC LIBRARY,Rural,"15,248","62,558",40,"24,608","37,950",0
AL0131,COLUMBIANA PUBLIC LIBRARY,Town,"4,682","159,584",17,"121,857","37,727",232
AL0132,HELENA - JANE B. HOLMES PUBLIC LIBRARY,Suburban,"20,374","183,280",27,"120,088","63,192",126
AL0133,VINCENT - LALLOUISE F. MCGRAW LIBRARY,Rural,"2,223","120,518",8,"117,943","2,575",1
AL0134,MONTEVALLO - PARNELL MEMORIAL LIBRARY,Suburban,"7,098","146,581",17,"119,563","27,018",224
AL0135,PELHAM PUBLIC LIBRARY,Suburban,"24,231","196,506",39,"30,449","166,057",335
AL0136,WILSONVILLE - VERNICE STOUDENMIRE LIBRARY,Rural,"2,069","122,484",9,"117,961","4,523",60
AL0137,NORTH SHELBY LIBRARY,Suburban,"51,100","397,877",37,"177,149","220,728","3,621"
AL0140,ALICEVILLE PUBLIC LIBRARY,Rural,"2,231","4,583",12,0,"4,583",743
AL0141,CARROLLTON PUBLIC LIBRARY,Rural,935,"15,615",38,0,"15,615","2,725"
AL0142,GORDO - RUTH HOLLIMAN MEMORIAL PUBLIC LIBRARY,Rural,"1,594","6,340",37,0,"6,340",0
AL0143,REFORM PUBLIC LIBRARY,Rural,"1,546",12,25,0,12,12
AL0145,MCCAIN MEMORIAL PUBLIC LIBRARY,Rural,"9,153","11,987",41,"2,084","9,903",122
AL0146,MOODY - DORIS STANLEY MEMORIAL LIBRARY,Suburban,"20,049","21,789",43,"4,096","17,693",0
AL0147,ODENVILLE PUBLIC LIBRARY,Rural,"10,642","5,704",8,"2,575","3,129",0
