FSCS Key,Library Name,Locale,Service Area Population,Total Library Programs,Children's Programs,Young Adult Programs,Adult Programs,Total Program Attendance,Children's Program Attendance,Adult Program Attendance,General Interest Program Attendance,General Interest Programs
AL0079,LAWRENCE COUNTY PUBLIC LIBRARY,Rural,"30,608",24,23,0,1,520,505,15,0,0
AL0080,BALDWIN COUNTY LIBRARY COOPERATIVE,Town,"102,040",0,0,0,0,0,0,0,0,0
AL0081,DAPHNE PUBLIC LIBRARY,City,"27,719",447,140,78,229,"8,218","5,214","1,064",0,0
AL0082,FAIRHOPE PUBLIC LIBRARY,City,"23,584","1,068",388,138,539,"16,370","10,592","5,086",17,3
AL0083,FOLEY PUBLIC LIBRARY,Town,"21,446",596,416,48,72,"11,547","3,466","1,362","6,479",60
AL0084,BAY MINETTE PUBLIC LIBRARY,Town,"9,509",94,83,0,11,"3,473","3,423",50,0,0
AL0085,LOXLEY PUBLIC LIBRARY,Suburban,"3,329",38,15,0,23,471,337,134,0,0
AL0086,OSCAR JOHNSON MEMORIAL LIBRARY,Town,"1,285",0,0,0,0,0,0,0,0,0
AL0087,ROBERTSDALE PUBLIC LIBRARY,Town,"7,030",154,150,4,0,750,689,0,0,0
AL0088,GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY,Town,"13,166",161,96,12,49,"6,118","4,712",555,445,4
AL0090,ADAMSVILLE PUBLIC LIBRARY,Suburban,"4,211",5,5,0,0,794,794,0,0,0
AL0091,BESSEMER PUBLIC LIBRARY,Suburban,"26,043",154,74,49,31,858,397,291,0,0
AL0092,MOUNTAIN BROOK - EMMET O`NEAL LIBRARY,Suburban,"20,034",851,633,91,69,"19,922","16,646",945,326,58
AL0093,FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY,Suburban,"10,457",4,2,0,2,132,0,132,0,0
AL0094,FULTONDALE PUBLIC LIBRARY,Suburban,"9,269",15,0,0,0,910,0,0,910,15
AL0095,GARDENDALE - MARTHA MOORE PUBLIC LIBRARY,Suburban,"14,113",289,173,24,82,"4,759","2,874","1,476",322,10
AL0096,GRAYSVILLE PUBLIC LIBRARY,Suburban,"2,066",4,4,0,0,567,567,0,0,0
AL0097,HOMEWOOD PUBLIC LIBRARY,Suburban,"25,174","1,103",436,269,398,"44,818","29,857","7,855",0,0
AL0098,HOOVER PUBLIC LIBRARY,City,"85,959","1,003",354,33,595,"58,427","26,329","14,826","16,523",21
AL0099,HUEYTOWN PUBLIC LIBRARY,Suburban,"15,202",76,16,0,58,"1,141",492,640,9,2
AL0100,IRONDALE PUBLIC LIBRARY,Suburban,"13,226",86,42,10,32,"2,866","2,286",384,63,2
AL0101,LEEDS - JANE CULBRETH LIBRARY,Suburban,"12,026",92,44,20,18,"1,727","1,150",210,217,10
AL0102,MIDFIELD PUBLIC LIBRARY,Suburban,"4,955",-1,-2,-1,-1,-1,-2,-1,-1,-1
AL0103,PLEASANT GROVE PUBLIC LIBRARY,Suburban,"9,578",37,16,1,14,580,362,188,20,6
AL0104,TARRANT PUBLIC LIBRARY,Suburban,"6,081",58,37,4,16,"1,106",881,142,57,1
AL0105,TRUSSVILLE PUBLIC LIBRARY,Suburban,"23,048",384,118,99,146,"9,968","5,674",501,"2,708",21
AL0106,VESTAVIA HILLS LIBRARY IN THE FOREST,Suburban,"34,317",653,227,173,185,"13,315","10,405","1,604",187,68
AL0107,WARRIOR PUBLIC LIBRARY,Rural,"3,190",19,9,0,0,"1,025",75,0,950,10
AL0108,BIRMINGHAM PUBLIC LIBRARY,City,"206,950","2,153",571,107,"1,195","73,401","23,739","32,225","16,640",280
AL0109,FORT PAYNE - DEKALB COUNTY PUBLIC LIBRARY,Town,"58,724",70,67,0,3,777,762,15,0,0
AL0110,COLLINSVILLE PUBLIC LIBRARY,Rural,"1,938",68,16,0,50,855,195,60,600,2
AL0111,GERALDINE PUBLIC LIBRARY,Rural,896,22,10,0,12,125,60,65,0,0
AL0112,RAINSVILLE PUBLIC LIBRARY,Rural,"5,149",49,49,0,0,"1,034","1,034",0,0,0
AL0113,ESCAMBIA COUNTY COOPERATIVE LIBRARY SYSTEM,Town,"20,814",0,0,0,0,0,0,0,0,0
AL0114,ATMORE PUBLIC,Town,"8,949",90,72,0,18,"3,227","2,151","1,076",0,0
AL0115,BREWTON PUBLIC LIBRARY,Town,"5,141",438,257,50,105,"2,935","1,932",342,380,26
AL0116,FLOMATON PUBLIC LIBRARY,Town,"1,377",28,5,5,16,815,230,98,466,2
AL0117,GADSDEN - ETOWAH COUNTY PUBLIC LIBRARY,City,"66,102","1,239",76,402,661,"27,182","1,702","18,403","4,752",100
AL0118,ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY,Suburban,"5,832",7,4,1,2,392,349,23,0,0
AL0119,RAINBOW CITY PUBLIC LIBRARY,Suburban,"9,603",62,42,0,20,"2,902","2,578",324,0,0
AL0121,DEMOPOLIS PUBLIC LIBRARY,Town,"11,710",74,54,3,9,"2,260","1,688",79,432,8
AL0122,MARENGO COUNTY PUBLIC LIBRARY,Rural,"7,023",2,0,0,0,35,0,0,35,2
AL0123,MARSHALL COUNTY COOPERATIVE LIBRARY,Rural,"47,523",0,0,0,0,0,0,0,0,0
AL0124,ARAB PUBLIC LIBRARY,Town,"8,406",107,39,4,51,"2,806","1,689",577,527,13
AL0125,BOAZ PUBLIC LIBRARY,Town,"9,706",184,98,14,50,"5,814","3,969",621,"1,141",22
AL0126,GUNTERSVILLE PUBLIC LIBRARY,Town,"8,676",289,36,13,221,"3,042","1,442","1,372",116,19
AL0127,ALBERTVILLE PUBLIC LIBRARY,Town,"21,777",126,120,2,2,316,195,50,50,2
AL0128,HARRISON REGIONAL LIBRARY SYSTEM,Town,"46,094",2,2,0,0,101,101,0,0,0
AL0129,ALABASTER - ALBERT L. SCOTT LIBRARY,Suburban,"33,701",331,201,17,113,"5,321","4,070","1,087",0,0
AL0130,CALERA PUBLIC LIBRARY,Rural,"15,248",103,76,0,16,"2,409","1,672",292,445,11
AL0131,COLUMBIANA PUBLIC LIBRARY,Town,"4,682",175,79,13,71,"1,424",718,636,53,12
