FSCS Key,Library Name,Locale,Suppression Note,Service Area Population,Internet Computers,Computer Uses,Wireless Sessions
AL0107,WARRIOR PUBLIC LIBRARY,Rural,,"3,190",7,"2,479",
AL0107,WARRIOR PUBLIC LIBRARY,Rural,Data Note: Missing,"3,190",,,-1
AL0108,BIRMINGHAM PUBLIC LIBRARY,City,,"206,950",243,"100,644",
AL0108,BIRMINGHAM PUBLIC LIBRARY,City,Data Note: Missing,"206,950",,,-1
AL0109,FORT PAYNE - DEKALB COUNTY PUBLIC LIBRARY,Town,,"58,724",10,"7,258","4,373"
AL0110,COLLINSVILLE PUBLIC LIBRARY,Rural,,"1,938",9,"1,200","1,500"
AL0111,GERALDINE PUBLIC LIBRARY,Rural,,896,11,"1,479","2,080"
AL0112,RAINSVILLE PUBLIC LIBRARY,Rural,,"5,149",10,"1,740",86
AL0113,ESCAMBIA COUNTY COOPERATIVE LIBRARY SYSTEM,Town,,"20,814",10,520,0
AL0114,ATMORE PUBLIC,Town,,"8,949",23,"3,868",600
AL0115,BREWTON PUBLIC LIBRARY,Town,,"5,141",30,"6,582","3,480"
AL0116,FLOMATON PUBLIC LIBRARY,Town,,"1,377",30,"34,512","5,236"
AL0117,GADSDEN - ETOWAH COUNTY PUBLIC LIBRARY,City,,"66,102",38,"21,177","19,338"
AL0118,ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY,Suburban,,"5,832",9,"1,390","2,030"
AL0119,RAINBOW CITY PUBLIC LIBRARY,Suburban,,"9,603",8,"2,766","7,749"
AL0121,DEMOPOLIS PUBLIC LIBRARY,Town,,"11,710",26,"3,177","10,380"
AL0122,MARENGO COUNTY PUBLIC LIBRARY,Rural,,"7,023",4,"1,236","5,752"
AL0123,MARSHALL COUNTY COOPERATIVE LIBRARY,Rural,,"47,523",0,0,
AL0123,MARSHALL COUNTY COOPERATIVE LIBRARY,Rural,Data Note: Missing,"47,523",,,-1
AL0124,ARAB PUBLIC LIBRARY,Town,,"8,406",15,"2,255","9,800"
AL0125,BOAZ PUBLIC LIBRARY,Town,,"9,706",21,"6,468","12,683"
AL0126,GUNTERSVILLE PUBLIC LIBRARY,Town,,"8,676",13,"3,700","12,500"
AL0127,ALBERTVILLE PUBLIC LIBRARY,Town,,"21,777",12,"2,608","12,857"
